trk_rec_type,trk_crsh_id,trk_unit_num,trk_carr_city,trk_carr_st,trk_carr_zip,trk_carr_name_src_cd,trk_intr_inta_ind,trk_gvwr,trk_cdl_grp_cd,trk_cdl_exmp_cd,trk_med_card_ind,trk_trk_type_cd,trk_frst_unit_axle,trk_scnd_unit_axle,trk_crgo_body_type_cd,trk_hzrd_matl_plrd_ind,trk_hzrd_matl_spll_ind,trk_cdl_rstr_28_ind,trk_cdl_rstr_29_ind,trk_cdl_rstr_30_ind,trk_cdl_rstr_35_ind,trk_cdl_rstr_36_ind,trk_trk_updt_date,trk_crnt_x_cord,trk_crnt_y_cord,trk_cnty_cd ,trk_date_val,trk_milt_time
7,8592148,2,GRAND RAIDS,MI,49534,1,1,130000,1,,1,5,T3,S3,4,0,0,0,0,0,0,0,01-APR-13,-85.6842659299558,42.9561725430275,41,20130319,1031
7,8650773,2,GRAND RAIPDS,MI,49504,1,1,45650,2,,1,13,B2,,8,0,0,0,0,0,0,0,12-JUN-13,-85.6733060118458,42.7437411286483,3,20130608,1915
7,8569499,3,GRAND RAPDIS,MI,49509,2,1,24000,3,,1,18,2,,1,0,0,0,0,0,0,0,21-FEB-13,-85.6594945342567,42.973629821612,41,20130219,1120
7,8781026,1,GRAND RAPDIS,MI,49512,4,2,10000,4,,0,1,2,,8,0,0,0,0,0,0,0,21-NOV-13,-83.0368373064937,42.7135844192815,50,20131101,700
7,8906319,1,GRAND RAPDIS,MI,49548,4,1,10000,3,,1,1,2,,1,0,0,0,0,0,0,0,13-MAR-14,-85.6782749756618,42.9954947494348,41,20140303,850
7,8774291,2,GRAND RAPDS,MI,49503,4,1,17693,2,,1,13,B2,,8,0,0,0,0,0,0,0,14-NOV-13,-85.6659346307692,42.9121573429161,41,20131029,1255
7,8643983,1,GRAND RAPI,DS,MI4954,8,1,10,4,,0,,10,10,2,,,0,0,0,0,0,03-JUN-13,-84.7934093485877,44.3273646204214,72,20130515,2125
7,8982679,1,GRAND RAPIDA,MI,49548,4,1,10000,3,,1,4,2,,8,0,0,0,0,0,0,0,27-JUN-14,-85.5664449023718,42.8265267258018,41,20140625,800
7,8522372,1,GRAND RAPIDS,MI,49504,1,1,80000,1,,1,1,T3,S2,1,0,0,0,0,0,0,0,03-JAN-13,-83.3142720841766,42.0065140177737,58,20130101,840
7,8523392,2,GRAND RAPIDS,MI,59503,1,1,30000,2,,1,13,B2,,8,0,0,0,0,0,0,0,04-JAN-13,-85.7063870493779,42.9135366166141,41,20130103,1324
